detector,stream,parameter,value
rate,events,context_win,60.0
rate,events,detection_mode,peak
rate,events,excess_threshold_hz,8.0
rate,events,fitted_config_key,a797c1884267e3a2
rate,events,fitted_on,"simulated recordings ['quiet:2000', 'busy:2000', 'quiet:2001', 'busy:2001', 'quiet:2004', 'busy:2004', 'quiet:2005', 'busy:2005']"
rate,events,fitted_outer_fold,1
rate,events,fitted_selection,gated
rate,events,grid_dt,0.1
rate,events,guard_sec,0.0
rate,events,merge_gap_s,3.0
rate,events,peak_min_distance_sec,0.5
rate,events,peak_prominence,2.0
rate,events,rate_win,1.0
rate,events,threshold_alpha,2.0
rate,events,threshold_mode,additive
