# Dead-ROI verdicts, CONSUMED not recomputed.
# Source of record: the R team's rule (fireflies decisions/0002), applied by
# interface2's if2_dead_roi_keep against
#   2R/2026-08-15/long_window_20_strict_ROI/long_window_20_strict_ROI_custard_20260815.csv
# (the CURRENT roster; the pipeline's own default points into 2R/QUARANTINE/).
#
# The rule needs drug and high-K rows, which FOUNDATIONS SS9 keeps out of this repo's
# baseline-only reach — so the VERDICTS are vendored here and the rule is not ported.
# keep=0 means the R team rejected that ROI. A slice with no rejections may simply be
# ineligible for a verdict (18 of 85 are); that is the spec, not a bug.
# Regenerate: interface2 dump_droi.m on branch bct-modularity-fast.
slice_id,roi_index,keep
20240708_13,1,1
20240708_13,2,1
20240708_13,3,1
20240708_13,4,1
20240708_13,5,1
20240708_13,6,1
20240708_13,7,1
20240708_13,8,1
20240708_13,9,1
20240708_13,10,1
20240708_13,11,1
20240708_13,12,1
20240708_13,13,1
20240708_13,14,1
20240708_13,15,1
20240708_13,16,1
20240708_13,17,1
20240708_13,18,1
20240708_13,19,1
20240708_13,20,1
20240708_13,21,1
20240708_13,22,1
20240708_13,23,1
20240708_13,24,1
20240708_13,25,1
20240708_13,26,1
20240708_13,27,1
20240708_13,28,1
20240708_13,29,1
20240708_13,30,1
20240708_13,31,1
20240708_13,32,1
20240708_13,33,1
20240708_13,34,1
20240708_17,1,1
20240708_17,2,1
20240708_17,3,1
20240708_17,4,1
20240708_17,5,1
20240708_17,6,1
20240708_17,7,1
20240708_17,8,1
20240708_17,9,1
20240708_17,10,1
20240708_17,11,1
20240708_17,12,1
20240708_17,13,1
20240708_17,14,1
20240708_17,15,1
20240708_17,16,1
20240708_17,17,1
20240708_17,18,1
20240708_17,19,1
20240708_17,20,1
20240708_17,21,1
20240708_17,22,1
20240708_17,23,1
20240708_17,24,1
20240708_17,25,1
20240708_17,26,1
20240708_17,27,1
20240708_17,28,1
20240708_17,29,1
20240708_17,30,1
20240708_17,31,1
20240723_22,1,1
20240723_22,2,1
20240723_22,3,1
20240723_22,4,1
20240723_22,5,1
20240723_22,6,1
20240723_22,7,1
20240723_22,8,1
20240723_22,9,1
20240723_22,10,1
20240723_22,11,1
20240723_22,12,1
20240723_22,13,1
20240723_22,14,1
20240723_22,15,1
20240723_22,16,1
20240723_22,17,1
20240723_22,18,1
20240723_22,19,1
20240723_22,20,1
20240723_22,21,1
20240723_22,22,1
20240723_22,23,1
20240723_22,24,1
20240726_34,1,1
20240726_34,2,1
20240726_34,3,1
20240726_34,4,1
20240726_34,5,1
20240726_34,6,1
20240726_34,7,1
20240726_34,8,1
20240726_34,9,1
20240726_34,10,1
20240726_34,11,1
20240726_34,12,1
20240726_34,13,1
20240726_34,14,1
20240726_34,15,1
20240726_34,16,1
20240726_34,17,1
20240726_34,18,1
20240726_34,19,1
20240726_34,20,1
20240726_34,21,1
20240726_34,22,1
20240726_34,23,1
20240726_34,24,1
20240726_34,25,1
20240726_34,26,1
20240726_34,27,1
20240726_34,28,1
20240726_34,29,1
20240726_34,30,1
20240726_34,31,1
20240726_34,32,1
20240726_34,33,1
20240726_34,34,1
20240726_36,1,1
20240726_36,2,1
20240726_36,3,1
20240726_36,4,1
20240726_36,5,1
20240726_36,6,1
20240726_36,7,1
20240726_36,8,1
